Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION;;;;;;
;;;;;;;;C1;C1;C2;C1;C2;C2;C1;C3;C3;C2;C2;C2;C3;C2;C3;;;;;;;C1;C2;C3;;C1;C2;C3;;;;;;;;
26;2;I.E. N° 5156 ELIAS AGUIRRE;1ro;2;2;50;49;47;40;39;21;26;22;25;24;22;24;24;31;26;30;26;0;0;0;0;0;;3;4;3;0;69%;58%;51%;0%;17;;;;;;
27;3;IE N° 5087;1ro;2;2;58;58;46;53;54;30;20;38;18;33;33;21;20;30;24;14;25;0;0;0;0;0;;3;4;3;0;63%;48%;51%;0%;15;;;;;;
28;3;IE N° 5120;1ro;2;2;57;57;54;50;52;39;5;7;9;17;14;27;10;9;6;2;3;0;0;0;0;0;;3;2;1;0;67%;28%;18%;0%;9;;;;;;
29;3;FE Y ALEGRIA N°43;1ro;4;4;108;103;90;84;87;56;31;25;40;36;20;42;29;23;36;39;29;0;0;0;0;0;;3;3;1;0;66%;39%;30%;0%;12;;;;;;
30;3; IE N° 3720 NUESTRA SEÑORA DE LA MISERICORDIA;1ro;3;3;77;64;63;63;64;59;44;51;53;53;35;59;53;27;49;57;51;0;0;0;0;0;;4;6;3;0;93%;79%;73%;0%;24;;;;;;
31;3;ESCUELA HOGAR COMUNITARIA REGIONAL SAGRADA FAMILIA;1ro;2;2;48;43;42;33;32;27;24;17;17;29;22;37;18;18;19;27;23;0;0;0;0;0;;3;4;3;0;70%;58%;55%;0%;18;;;;;;
32;3;IEN°5094 NACIONES UNIDAS;1ro;4;4;93;89;63;51;72;28;24;32;30;33;15;52;30;26;46;37;34;0;0;0;0;0;;2;3;2;0;49%;44%;37%;0%;13;;;;;;
33;3;IEN° 5123 FRANCISCO BOLOGNESI;1ro;2;2;71;70;57;64;62;39;17;37;40;46;27;49;41;25;47;55;35;0;0;0;0;0;;3;4;2;0;71%;58%;55%;0%;18;;;;;;
34;3;IE N° 3089  “LOS ANGELES”;1ro;4;4;103;96;89;86;73;53;22;27;23;38;26;63;38;25;46;37;38;0;0;0;0;0;;3;3;2;0;66%;42%;39%;0%;13;;;;;;
35;3;IE N° 5077 “FAUSTINO SANCHEZ CARRION”;1ro;4;4;113;112;58;107;104;93;91;86;92;85;8;94;88;92;86;74;86;0;0;0;0;0;;4;6;3;0;84%;78%;58%;0%;21;;;;;;
36;3;IE 5121 “PEDRO PLANA SILVA”;1ro;3;3;73;67;49;54;48;38;26;21;30;29;20;35;30;23;35;39;23;0;0;0;0;0;;2;2;1;0;43%;32%;28%;0%;9;;;;;;
37;4;IE N° 5098 KUMAMOTO;1ro;2;2;75;72;59;61;61;29;17;13;26;29;21;43;21;22;26;37;29;0;0;0;0;0;;3;3;1;0;60%;42%;37%;0%;13;;;;;;
38;4;IE N° 5119 VILLA EMILIA;1ro;3;3;94;85;66;71;63;50;32;22;43;44;19;51;25;28;38;29;37;0;0;0;0;0;;3;2;2;0;68%;29%;41%;0%;13;;;;;;
39;4;IE N° 5130-2 VILLA DEL MAR;1ro;1;1;20;19;17;19;17;14;12;15;16;19;16;16;10;14;13;9;10;0;0;0;0;0;;3;5;3;0;87%;70%;76%;0%;22;;;;;;
40;4;IE N° 5130-4 CHAVINILLO;1ro;3;3;65;63;58;55;55;46;21;27;33;41;21;40;34;19;36;36;31;0;0;0;0;0;;3;4;2;0;77%;53%;52%;0%;17;;;;;;
