Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION;;;;;;
;;;;;;;;C1;C1;C2;C1;C2;C2;C1;C3;C3;C2;C2;C2;C3;C2;C3;;;;;;;C1;C2;C3;;C1;C2;C3;;;;;;;;
42;4;IE FE Y ALEGRIA N° 33;1ro;5;5;151;134;98;80;82;96;61;39;76;37;92;107;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;68%;34%;63%;63%;11;;;;;;
43;4;IE MANUEL SEOANE C.;1ro;7;0;261;242;192;137;108;158;66;92;80;70;120;140;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;58%;28%;39%;39%;9;;;;;;
44;5;"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""";1ro;2;2;69;60;50;46;49;47;37;17;31;21;29;53;0;0;0;0;0;0;0;0;0;0;;3;1;1;2;81%;41%;49%;49%;13;;;;;;
45;5;"I.E. N° 5051 ""VIRGEN DE FATIMA""";1ro;4;4;99;122;89;66;76;88;42;52;66;56;82;96;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;70%;41%;61%;61%;12;;;;;;
46;5;"I.E. N° 5052 ""VIRGEN DE LA MERCED """;1ro;4;4;120;110;80;47;64;79;30;45;64;38;67;81;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;67%;34%;60%;60%;11;;;;;;
47;5;"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""";1ro;7;7;216;193;116;61;86;85;70;64;60;51;90;92;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;50%;32%;40%;40%;8;;;;;;
48;5;I.E. N° 5096;1ro;3;1;103;92;87;66;79;87;72;49;57;40;74;73;0;0;0;0;0;0;0;0;0;0;;3;2;1;1;88%;59%;71%;71%;15;;;;;;
49;5;I.E. N° 5137;1ro;2;2;50;43;34;29;29;36;16;4;3;19;26;15;0;0;0;0;0;0;0;0;0;0;;3;1;1;1;76%;30%;33%;33%;10;;;;;;
50;5;I.E. NUESTRA SEÑORA DE BELÉN;1ro;3;3;83;75;29;18;22;29;9;17;16;7;26;20;0;0;0;0;0;0;0;0;0;0;;1;0;1;0;35%;14%;28%;28%;5;;;;;;
51;5;I.E. FE Y ALEGRÍA 29;1ro;3;3;94;84;67;47;35;69;50;14;33;42;56;65;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;68%;43%;53%;53%;11;;;;;;
52;6;I.E. Nº 4021;1ro;3;3;104;90;76;56;48;78;45;42;42;35;34;53;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;75%;45%;43%;43%;12;;;;;;
53;6;"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""";1ro;2;2;58;58;36;28;31;32;30;22;28;35;35;36;0;0;0;0;0;0;0;0;0;0;;2;2;1;1;57%;50%;54%;54%;4;;;;;;
54;6;"I.E. Nº 5093 ""ANTONIO RAYMONDI""";1ro;4;4;124;133;33;23;29;39;25;24;24;23;31;29;9;9;7;6;11;0;0;0;0;0;;1;0;1;0;26%;14%;19%;12%;5;;;;;;
55;7;"I.E N° 5088 ""HÉROES DELPACÍFICO""";1ro;4;4;129;116;95;73;76;91;53;55;57;84;93;98;0;0;0;0;0;0;0;0;0;0;;2;2;1;2;76%;56%;66%;66%;14;;;;;;
56;7;"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""";1ro;3;3;65;60;53;45;46;48;41;33;36;21;44;55;0;0;0;0;0;0;0;0;0;0;;2;1;1;2;81%;52%;65%;65%;14;;;;;;
57;7;IE 5091 HIJOS DE GRAU;1ro;2;2;64;59;19;19;17;20;16;17;11;17;20;49;0;0;0;0;0;0;0;0;0;0;;7;7;1;1;32%;29%;27%;27%;7;;;;;;
58;7;IE N 5086 POLITECNICO DE VENTANILLA;1ro;4;4;150;148;129;98;107;122;92;87;83;41;108;115;0;0;0;0;0;0;0;0;0;0;;3;1;1;2;81%;50%;65%;65%;13;;;;;;
59;7;IE N° 5130-1;1ro;3;3;96;82;70;49;54;69;29;24;47;31;52;66;0;0;0;0;0;0;0;0;0;0;;2;1;1;2;79%;34%;61%;61%;12;;;;;;
60;7;IE. N° 5130-3 VRHT;1ro;2;1;25;69;47;28;42;60;29;29;24;25;50;40;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;67%;26%;47%;47%;9;;;;;;
61;7;IE.5118 CMDTE JUAN VALER SANDOVAL;1ro;4;4;123;115;95;69;71;90;53;39;59;34;83;95;0;0;0;0;0;0;0;0;0;0;;2;1;1;1;73%;36%;61%;61%;12;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACIERTOS POR ITEM;;;;61;0;5368;5181;3,817;2,880;2,875;3,636;2,203;1,971;2,443;1,884;2,940;3,538;16;14;22;16;23;0;0;0;0;0;;2;1;1;1;64%;37%;51%;51%;10;;;;;;
PORCENTAJES POR ITEMS;;;;;;;;74%;56%;55%;70%;43%;38%;47%;36%;57%;68%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;;;;;;;;;;;;;;;;
;;;;;;;BASE;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;30%;;;;;;;;;;;;;;;;
;;;;;;;DATO;74%;56%;55%;70%;43%;38%;47%;36%;57%;68%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;;Matriculados;5368;;;;;;;;;;;;;
;;;;;;;VACIO;26%;44%;45%;30%;57%;62%;53%;64%;43%;32%;100%;100%;100%;100%;100%;100%;100%;100%;100%;100%;;Evaluados;5181;;;;;;;;;;;;;
;;;;;;;TAPA;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;5%;;No Evaluados;187;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;C1;C2;C3;C4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;BB;10%;10%;10%;10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;B;25%;25%;25%;25%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;BB;10%;10%;10%;10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;D;64%;37%;51%;51%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;V;36%;63%;49%;49%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;T;10%;10%;10%;10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
